F,Altitude,Country,Fragmentation_Devices,Fragmentation_Devices_Type,Fragmentation_Devices_Weight,Fragmentation_Devices_Weight_Tons,High_Explosives,High_Explosives_Type,High_Explosives_Weight,High_Explosives_Weight_Tons,Incendiary_Devices,Incendiary_Devices_Type,Incendiary_Devices_Weight,Incendiary_Devices_Weight_Tons,Mission_Date,Mission_ID,Takeoff_Base,Takeoff_Latitude,Takeoff_Location,Takeoff_Longitude,Target_City,Target_Country,Target_Latitude,Target_Longitude,Theater_of_Operations,Total_Weight,Total_Weight_Tons
A36,,USA,,,,,16,500 LB GP (GP-M43/M64),,4,,,,,4/25/1944,84622,CASTEL VOLTURNO AIRFIELD,41.036617,ITALY,13.960642,ATTIGLIANO,ITALY,42.52,12.28,MTO,,4
LIB,,GREAT BRITAIN,,,,0,,,,,,,,0,4/28/1944,87837,"""TORTORELLA, FOGGIA""",4248,ITALY,1355,SAN SAFANO PORT,GREECE,42.48,11.25,MTO,,4.5
LIB,,GREAT BRITAIN,,,,0,,,,,,,,0,4/15/1945,89244,"""TORTORELLA, FOGGIA""",4248,ITALY,1355,VILLACH N M/Y,,46.6,13.83,,,6.5
LIB,80,GREAT BRITAIN,,,,0,,,,,,,,0,4/16/1945,89672,"""TORTORELLA, FOGGIA""",4248,ITALY,1355,ENEMY TROOP CONCENTRATIONS AT CASALECCHIA,,44.47,11.3,,,226.75
LIB,,GREAT BRITAIN,,,,0,,,,,,,,0,4/30/1944,89843,"""TORTORELLA, FOGGIA""",4248,ITALY,1355,MONFALCON SHIPBUILDING YARD,,45.8,13.55,,,9
TBF AVENGER,0,NEW ZEALAND,,,,0,1,2000 LB GP (GP-M34/M66),2000,1,,,,0,5/1/1944,90208,ESPIRITU SANTO,-15.25,NEW HEBRIDES,166.833333,"""HOSPITAL RIDGE, RABAUL""",,-4.191286,152.162657,PTO,2000,1
LIB,,GREAT BRITAIN,,,,0,,,,,,,,0,5/1/1944,90659,"""TORTORELLA, FOGGIA""",4248,ITALY,1355,ALESANDRIA M/Y,,44.9,8.65,,,75.17
LIB,,GREAT BRITAIN,,,,0,,,,,,,,0,5/2/1944,91089,"""TORTORELLA, FOGGIA""",4248,ITALY,1355,SPEZIA PORT,GREECE,44.1,9.83,MTO,,7.38
LIB,,GREAT BRITAIN,,,,0,,,,,,,,0,5/2/1944,91090,"""TORTORELLA, FOGGIA""",4248,ITALY,1355,PIACENSA M/Y,,45.03,9.7,,,14
A36,,USA,,,,,16,500 LB GP (GP-M43/M64),,4,,,,,5/4/1944,91860,CASTEL VOLTURNO AIRFIELD,41.036617,ITALY,13.960642,NARNI,ITALY,42.5,12.52,MTO,,4
A36,,USA,,,,,16,500 LB GP (GP-M43/M64),,4,,,,,5/4/1944,91861,CASTEL VOLTURNO AIRFIELD,41.036617,ITALY,13.960642,RONCIGLIONE,ITALY,42.28,12.22,MTO,,4
A36,,USA,,,,,16,500 LB GP (GP-M43/M64),,4,,,,,5/4/1944,91862,CASTEL VOLTURNO AIRFIELD,41.036617,ITALY,13.960642,ORTE,ITALY,42.47,12.4,MTO,,4
LIB,65,GREAT BRITAIN,,,,0,,,,,,,,0,4/17/1945,92505,"""TORTORELLA, FOGGIA""",4248,ITALY,1355,ENEMY COMMUNICATIONS - PORTA MAGGIORE,,44.68,11.82,,,152.75
